HeartRate,SkinConductance,EEG,Temperature,PupilDiameter,SmileIntensity,FrownIntensity,CortisolLevel,ActivityLevel,AmbientNoiseLevel,LightingLevel,EmotionalState,CognitiveState,EngagementLevel
61,8.93720406532195,11.79494627242648,36.50172307188844,3.33018102315288,0.6892375253636858,0.1890235057774672,0.6030351262103114,136,59,394,engaged,distracted,3
60,12.635397350913864,19.151412362549863,36.61891032363825,3.4289951106401646,0.561056310682997,0.0913670860625781,0.5666712318220477,155,39,479,engaged,distracted,1
81,3.660028324442505,6.226097891936879,36.17689799273445,2.819286368852816,0.417951083557865,0.2273549576242667,1.4224747367830513,55,30,832,partially engaged,focused,3
119,0.563070222347092,4.54296793958188,37.20529264938447,2.192960715226595,0.1401857939298864,0.5029649863326384,1.6690447608151953,39,40,602,disengaged,focused,3
118,0.4773777628625952,0.9962093929230909,37.248117586934974,2.4501385135638456,0.0644710186812352,0.6956043846017395,1.8540758438703009,10,42,908,disengaged,focused,3
77,9.024551782789697,19.67015988798973,36.80566537665143,3.728565211633271,0.6724914228479392,0.133989836200616,0.6288988310820629,151,47,449,engaged,focused,3
83,4.04982983126717,6.347192453740458,36.29936167052836,2.721966824851556,0.4193920573691055,0.2581759464488439,1.357725481824562,58,42,504,partially engaged,focused,3
112,1.322308539438186,3.477925871517721,37.35204984219872,2.3413492523879182,0.0785615433905077,0.6184561023211035,1.6274088118221908,9,55,388,disengaged,focused,3
92,2.205338764787159,7.237501362618273,36.08201087231439,2.673052014442552,0.4639959616164874,0.2768094765515049,1.304935459128178,85,34,598,partially engaged,focused,2
89,4.761323109450856,8.218163987750177,36.13547686579005,2.5616268540690297,0.329945112829238,0.3565325853792216,1.294055026656479,77,59,663,partially engaged,distracted,3
113,1.7115160088010604,4.373812618907305,37.29063101920965,2.2622720328325183,0.1632896084153143,0.7248005539383127,1.7001625916638945,6,59,381,disengaged,focused,3
65,13.156217710403867,11.792098495610258,36.54110079474097,3.3283577851330195,0.7121883835069391,0.1085318564273135,0.6862118480875035,150,35,648,engaged,focused,3
79,8.822559146564046,16.47578490806859,36.9831381259487,3.510375406628862,0.9934384234708602,0.0604498789826394,0.5154340662712305,138,55,906,engaged,focused,3
76,14.536033677507945,16.504833499946876,36.83655665115498,3.178928511560836,0.7463048394264133,0.0734165494174493,0.735478426195515,119,50,985,engaged,focused,1
92,4.716624983452589,7.724079437259853,36.46224717926515,2.7861772560138123,0.3139272631950121,0.3105738787051543,1.2878694662463404,85,47,474,partially engaged,focused,2
62,11.228761490206036,12.596140986739204,36.790874208974095,3.240952042636943,0.7232226361019534,0.0245411398674614,0.518650273930739,142,33,370,engaged,focused,3
111,1.9239652400006797,2.611146473851642,37.27658835306838,2.4708005193936877,0.1842294275183666,0.7652335861701254,1.5489973710148566,40,53,545,disengaged,distracted,3
89,3.228028891486834,8.307883702870292,36.31685487171156,2.6913205775327858,0.4226572787666259,0.3627496591135095,1.0131423861688036,88,39,548,partially engaged,focused,3
79,10.16676392605342,19.91874544682311,36.52731076824452,3.4910448217723773,0.5457082745572588,0.031957112422714,0.691519175209131,156,39,432,engaged,distracted,1
74,8.361096462206039,16.397477120376795,36.766876660296894,3.8155869805157687,0.813722804908471,5.04908981124208e-05,0.8815871928048694,195,39,954,engaged,distracted,3
105,0.3108666078514783,3.689931911375808,37.4599673658907,2.020969007151284,0.0791164223832193,0.799044492821285,1.8663359850003345,32,43,469,disengaged,focused,2
85,2.664105678475861,5.77405620298413,36.151184516887966,2.8621920341645257,0.3329893321516376,0.3048468075766577,1.134604959557199,97,36,437,partially engaged,distracted,3
105,1.210481515144364,0.4835525098692128,37.233156107973,2.218103648241185,0.1705046013643527,0.687619157950044,1.8198510310795517,35,50,454,disengaged,focused,2
108,1.0440029003041085,3.0396002923243994,37.19122185252708,2.493728308480039,0.1410042518993717,0.5873020383137494,1.5288831494860342,5,51,891,disengaged,distracted,2
89,3.655038691257919,8.008822210552346,36.49932394246711,2.6005920710833257,0.4046436039934584,0.2692370615427278,1.2629464842895,93,33,654,partially engaged,distracted,3
